MMSI:367017010  Longitude:-74.0043  Latitude:40.6943  Altitude:0  045780F0C8200466AD3C3117491590FAFFEE00C03B6640  02-Oct-2016 11:57:58
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31969749F94064B10000C0F7D673  02-Oct-2016 11:58:00
MMSI:367586920  Longitude:-74.0027  Latitude:40.6994  Altitude:0  0457A3B9A3000656AD3E081749D3383267620208A47C3F  02-Oct-2016 11:58:02
MMSI:367017010  Longitude:-74.0041  Latitude:40.6946  Altitude:0  045780F0C8200466AD3C6797492090FDFF8A005EE8CC41  02-Oct-2016 11:58:08
MMSI:367586920  Longitude:-74.003  Latitude:40.699  Altitude:0  0457A3B9A3000656AD3DB01749C3B82967760208A7CA34  02-Oct-2016 11:58:11
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31961749F90064B116005EE826F5  02-Oct-2016 11:58:13
MMSI:367017010  Longitude:-74.004  Latitude:40.6949  Altitude:0  045780F0C8200456AD3C9217492960FFFF9A005EE8E2A7  02-Oct-2016 11:58:17
MMSI:367586920  Longitude:-74.0033  Latitude:40.6986  Altitude:0  0457A3B9A3000656AD3D5A9749B4482267120282E9EDA3  02-Oct-2016 11:58:21
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31959749F8E064B1260140F9E312  02-Oct-2016 11:58:21
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31959749F8D064B13E018488142D  02-Oct-2016 11:58:32
MMSI:367586920  Longitude:-74.0039  Latitude:40.6977  Altitude:0  0457A3B9A3000656AD3CAF974995481F66BA0208BF432E  02-Oct-2016 11:58:41
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31951749F8C064B1520008AE7F0F  02-Oct-2016 11:58:43
MMSI:367017010  Longitude:-74.0035  Latitude:40.6958  Altitude:0  045780F0C8200446AD3D3297494C70E5FFDA0186DB9862  02-Oct-2016 11:58:49
MMSI:367586920  Longitude:-74.0041  Latitude:40.6974  Altitude:0  0457A3B9A3000656AD3C63174987281B66CC03872DF626  02-Oct-2016 11:58:50
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31959749F8B064B164005EE8B81B  02-Oct-2016 11:58:52
MMSI:367017010  Longitude:-74.0033  Latitude:40.6961  Altitude:0  045780F0C8200456AD3D6097495790D5FFEE00883F89E5  02-Oct-2016 11:58:58
MMSI:367586920  Longitude:-74.0044  Latitude:40.697  Altitude:0  0457A3B9A3000646AD3C0A974977C81766E0034103F58A  02-Oct-2016 11:59:00
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31951749F8A064B1760088B64046  02-Oct-2016 11:59:01
